                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.7493,                 1.0904,                0.90698,                 1.1057,                0.65113,                0.38636,                0.42857,                0.21561,                0.77891,                0.43182,                0.54411,                0.29906,                 1.6461,                 2.7115,                 2.9119,                 2.1051,              0.0014029,              0.0014029,              0.0014029
                     35,                0.68134,                0.93775,                0.90542,                 1.0879,                0.89073,                0.45455,                0.54889,                0.23384,                0.82949,                0.43182,                0.51202,                0.25252,                 1.7124,                 2.8101,                 3.0077,                 2.2794,              0.0013947,              0.0013947,              0.0013947
                     36,                0.69938,                 1.1684,                0.86978,                 1.0501,                0.56634,                0.47727,                0.47285,                0.26333,                0.56481,                0.43182,                 0.4442,                0.25931,                 1.6692,                 2.8951,                 2.4809,                 2.3071,              0.0013864,              0.0013864,              0.0013864
                     37,                 0.6633,                 1.0435,                 0.8463,                 1.0837,                0.70993,                0.45455,                0.48245,                0.26252,                0.70012,                0.45455,                0.48357,                 0.2799,                  1.571,                 2.6218,                 2.3981,                 2.1798,              0.0013782,              0.0013782,              0.0013782
                     38,                0.66091,                0.99102,                0.80514,                 1.0754,                0.76723,                0.44962,                0.45955,                0.28044,                0.89524,                0.52273,                0.56816,                0.32422,                 1.5673,                 2.2832,                 2.4023,                 2.0977,              0.0013699,              0.0013699,              0.0013699
                     39,                0.67871,                 1.1416,                0.81289,                 1.0685,                0.76719,                0.47727,                 0.4692,                0.29288,                 0.8405,                0.52273,                0.57553,                0.31445,                  1.637,                 2.6178,                 2.2713,                  2.141,              0.0013617,              0.0013617,              0.0013617
                     40,                0.68136,                0.96292,                0.84601,                 1.0797,                0.50282,                0.45455,                0.41866,                 0.2353,                0.68367,                0.36364,                0.42704,                0.20502,                 1.6744,                 3.5889,                 2.9338,                  2.177,              0.0013534,              0.0013534,              0.0013534
                     41,                0.67904,                 1.1867,                0.82752,                 1.0728,                0.58707,                0.43182,                0.39469,                0.24938,                0.65595,                0.47727,                 0.4508,                0.22247,                 1.6324,                 3.7065,                  2.778,                 2.1551,              0.0013452,              0.0013452,              0.0013452
                     42,                0.64957,                 1.0648,                0.78171,                 1.0565,                0.86503,                0.61364,                0.63172,                0.37113,                0.83245,                0.59091,                0.59266,                0.33869,                 1.5162,                 2.8706,                 1.9475,                 2.0191,              0.0013369,              0.0013369,              0.0013369
                     43,                0.60821,                0.93841,                0.73929,                 1.0345,                 0.8108,                0.59091,                0.61564,                0.37053,                 0.8108,                0.59091,                0.62418,                0.35223,                  1.339,                 3.0241,                 1.6536,                 1.8331,              0.0013287,              0.0013287,              0.0013287
                     44,                0.63617,                0.98754,                0.76724,                 1.0277,                0.85089,                0.64864,                0.66252,                0.39372,                0.81165,                0.59091,                0.60414,                 0.3665,                 1.2583,                 3.1431,                 1.6082,                 1.6923,              0.0013204,              0.0013204,              0.0013204
                     45,                   0.64,                 1.0009,                0.76334,                 1.0626,                0.86678,                0.65909,                0.67346,                0.43805,                 0.8369,                0.63636,                 0.6597,                0.40186,                 1.1956,                 2.8028,                 1.5116,                 1.6658,              0.0013122,              0.0013122,              0.0013122
                     46,                0.62241,                0.87822,                0.75936,                 1.0632,                0.92291,                0.63636,                 0.6923,                0.44998,                0.89815,                0.60142,                0.68529,                0.43387,                 1.2036,                 2.3462,                 1.5162,                  1.639,              0.0013039,              0.0013039,              0.0013039
                     47,                 0.6914,                0.99217,                0.80624,                 1.0883,                0.79068,                0.65909,                0.68031,                0.43366,                0.87333,                0.59091,                0.67793,                0.43876,                 1.2309,                 2.2489,                 1.7758,                 1.7218,              0.0012957,              0.0012957,              0.0012957
                     48,                0.58909,                0.83932,                0.71098,                 1.0232,                0.78136,                0.63636,                 0.6316,                0.38396,                0.86657,                0.65909,                0.65934,                0.40026,                 1.4132,                 2.2214,                 1.8729,                 1.9763,              0.0012874,              0.0012874,              0.0012874
                     49,                0.62111,                0.87493,                0.76901,                 1.0629,                0.86968,                0.68182,                0.67956,                0.42849,                0.84701,                0.65909,                 0.6609,                0.43962,                 1.2563,                 2.0296,                 1.6693,                 1.7395,              0.0012792,              0.0012792,              0.0012792
                     50,                 0.6209,                 0.8834,                0.73609,                 1.0483,                0.66114,                 0.5766,                0.57718,                0.37258,                0.68881,                0.61364,                0.56885,                0.34706,                 1.2467,                 2.1431,                 1.8466,                 1.5986,              0.0012709,              0.0012709,              0.0012709
                     51,                0.62208,                  0.909,                0.75182,                 1.0515,                0.63766,                0.68182,                0.62862,                0.41518,                0.61997,                0.68182,                0.62293,                0.39647,                 1.3106,                  2.196,                 1.6541,                 1.7357,              0.0012627,              0.0012627,              0.0012627
                     52,                0.63416,                0.95076,                0.72415,                 1.0641,                 0.8537,                0.61364,                 0.6626,                0.43928,                0.87821,                0.65561,                0.66452,                0.42724,                 1.3459,                 2.2328,                 1.7055,                 1.9716,              0.0012544,              0.0012544,              0.0012544
